Place,CarNum,Team,Run #1 Time,Run #2 Time,Run #3 Time,Run #4 Time,Best time,Score
1,115,Univ of Texas - Arlington,47.712,47.026,46.689,45.886,45.886,125
2,103,Univ of Calif - Berkeley,48.17,46.189,51.008,50.834,46.189,122.49
3,134,Univ of Minnesota - Twin Cities,52.506,49.765,47.2,46.315,46.315,121.46
4,19,Univ of Illinois - Urbana Champaign,47.389,47.063,47.34,46.606,46.606,119.1
5,140,Texas A&M Univ - College Station,50.5,48.765,49.191,46.86,46.86,117.06
6,81,California State Poly Univ - Pomona,47.815,47.135,DNA,DNA,47.135,114.88
7,124,Univ of Connecticut,49.979,47.807,47.634,47.386,47.386,112.91
8,72,Univ of Cincinnati,49.382,48.129,48.505,47.41,47.41,112.73
9,131,Wroclaw University of Technology,53.257,50.872,48.413,47.541,47.541,111.71
10,88,The Ohio State University,55.733,52.328,47.796,48.691,47.796,109.74
11,43,Univ of Calgary,60.25,51.301,50.532,48.241,48.241,106.36
12,36,North Carolina State Univ - Raleigh,53.306,49.826,51.489,48.362,48.362,105.45
13,44,Univ of Waterloo,51.763,49.231,48.508,53.125,48.508,104.36
14,144,Kansas State Univ,53.919,62.903,48.938,48.653,48.653,103.28
15,83,Western Michigan Univ,75.475,48.792,DNA,DNA,48.792,102.26
16,14,California Polytechnic State Univ-SLO,49.741,48.934,49.354,50.146,48.934,101.21
17,32,Univ of Calif - Los Angeles,50.865,49.248,52.914,50.09,49.248,98.93
18,13,Univ of Kansas - Lawrence,49.456,50.52,53.521,53.789,49.456,97.43
19,33,Purdue Univ - W Lafayette,49.51,51.446,51.039,50.117,49.51,97.05
20,18,Univ of Missouri,50.796,49.63,50.147,50.524,49.63,96.19
21,137,Iowa State Univ,53.052,50.073,54.052,49.821,49.821,94.84
22,86,Villanova Univ,52.9,52.116,50.608,49.864,49.864,94.54
23,53,Michigan State University,58.395,51.531,51.574,49.865,49.865,94.53
24,80,Univ of Calif - San Diego,51.412,50.05,51.194,51.336,50.05,93.23
25,97,Univ of South Florida,52.68,58.188,51.765,50.465,50.465,90.35
26,82,Georgia Institute of Technology,52.21,50.478,58.198,52.668,50.478,90.26
27,99,Univ of Akron,51.464,50.534,53.348,50.669,50.534,89.88
28,55,Univ of North Carolina - Charlotte,52.211,50.636,53.411,50.768,50.636,89.18
29,57,Univ of Pittsburgh - Pittsburgh,56.444,50.65,67.483,55.25,50.65,89.08
30,71,Oklahoma State Univ,57.71,54.067,50.922,54.576,50.922,87.23
31,34,California State Univ - Northridge,53.364,52.306,55.029,51.22,51.22,85.23
32,117,Missouri University of Science and Tech,56.323,55.022,51.686,51.331,51.331,84.5
33,56,Clemson Univ,57.253,59.596,58.9,51.501,51.501,83.37
34,17,Univ of Victoria,59.154,54.701,53.162,51.718,51.718,81.94
35,73,Carleton Univ,51.812,55.988,52.989,53.247,51.812,81.32
36,101,Arizona State Univ - Tempe,73.47,51.999,62.138,57.248,51.999,80.11
37,141,Univ of Kentucky,55.987,53.185,53.242,52.208,52.208,78.76
38,45,Lawrence Technological Univ,74.016,52.415,175.45,210.704,52.415,77.43
39,89,Mississippi State Univ,56.526,76.043,52.634,53.292,52.634,76.05
40,74,Univ of Southern California,56.04,52.983,57.217,DNF,52.983,73.85
41,106,Old Dominion Univ,56.221,55.632,55.428,53.004,53.004,73.72
42,94,Temple Univ,53.085,78.309,66.309,59.891,53.085,73.22
43,162,CEFET-MG,53.13,55.104,DNA,DNA,53.13,72.94
44,121,Univ of Wisconsin - Madison,59.918,53.179,DNA,DNA,53.179,72.63
45,21,Univ of Colorado - Boulder,66.684,59.267,90.039,53.24,53.24,72.26
46,29,California State Univ - Chico,56.103,53.311,111.002,82.232,53.311,71.82
47,61,Kennesaw State University,71.008,90.991,53.333,53.506,53.333,71.68
48,142,Duke Univ,58.115,53.584,57.832,54.831,53.584,70.14
49,58,Drexel Univ,56.905,94.203,68.01,54.067,54.067,67.22
50,35,California Baptist University,61.972,60.089,59.108,54.136,54.136,66.81
51,51,Minnesota State University - Mankato,56.495,54.309,55.536,80.867,54.309,65.78
