Place,CarNum,Team,Run #1 Time,Run #2 Time,Run #3 Time,Run #4 Time,Best time,Score
1,124,Univ of Connecticut,4.912,4.474,4.26,4.174,4.174,100
2,131,Wroclaw University of Technology,4.318,4.259,4.432,4.338,4.259,94.34
3,19,Univ of Illinois - Urbana Champaign,4.273,4.56,4.45,DNA,4.273,93.41
4,36,North Carolina State Univ - Raleigh,10.124,4.43,4.285,4.718,4.285,92.59
5,51,Minnesota State University - Mankato,4.432,4.354,4.322,4.291,4.291,92.25
6,61,Kennesaw State University,4.533,4.46,4.395,4.309,4.309,91.05
7,97,Univ of South Florida,4.524,4.756,4.582,4.356,4.356,88.06
8,113,Univ of Oklahoma,4.486,4.568,4.445,4.384,4.384,86.3
9,94,Temple Univ,4.591,4.557,4.49,4.401,4.401,85.27
10,117,Missouri University of Science and Tech,4.592,4.546,4.544,4.414,4.414,84.46
11,137,Iowa State Univ,4.625,5.002,4.942,4.417,4.417,84.25
12,88,The Ohio State University,4.469,4.456,4.457,4.557,4.456,81.93
13,81,California State Poly Univ - Pomona,4.562,4.529,4.57,4.459,4.459,81.7
14,82,Georgia Institute of Technology,4.56,4.497,4.472,DNA,4.472,80.94
15,21,Univ of Colorado - Boulder,4.687,4.616,4.478,4.504,4.478,80.58
16,80,Univ of Calif - San Diego,4.669,4.566,4.499,4.494,4.494,79.63
17,13,Univ of Kansas - Lawrence,4.702,4.526,5.351,4.497,4.497,79.43
18,134,Univ of Minnesota - Twin Cities,4.5,4.572,DNA,DNA,4.5,79.26
19,114,Saginaw Valley State Univ,4.64,4.512,4.697,4.761,4.512,78.56
20,115,Univ of Texas - Arlington,4.884,4.522,4.546,4.632,4.522,78
21,72,Univ of Cincinnati,4.641,5.086,4.544,4.522,4.522,77.99
22,23,Embry-Riddle Aero Univ - Daytona Beach,4.536,4.683,DNA,DNA,4.536,77.18
23,140,Texas A&M Univ - College Station,4.552,4.544,4.684,4.651,4.544,76.71
24,86,Villanova Univ,4.785,4.546,4.817,4.711,4.546,76.58
25,34,California State Univ - Northridge,4.659,4.553,4.916,4.778,4.553,76.2
26,33,Purdue Univ - W Lafayette,4.7,4.607,4.776,4.56,4.56,75.78
27,144,Kansas State Univ,4.573,6.074,5.142,5.296,4.573,75.02
28,110,Univ of Illinois - Chicago,4.62,4.578,DNA,DNA,4.578,74.77
29,45,Lawrence Technological Univ,6.823,5.955,5.173,4.647,4.647,70.89
30,32,Univ of Calif - Los Angeles,4.824,5.482,4.766,4.668,4.668,69.73
31,121,Univ of Wisconsin - Madison,5.652,4.675,DNA,DNA,4.675,69.35
32,16,Grand Valley State Univ,4.854,4.717,4.683,4.682,4.682,68.96
33,71,Oklahoma State Univ,5.415,4.695,4.978,4.853,4.695,68.26
34,17,Univ of Victoria,7.301,4.78,DNF,4.703,4.703,67.8
35,35,California Baptist University,5.619,4.707,5.654,4.816,4.707,67.6
36,83,Western Michigan Univ,4.875,5.338,4.709,4.783,4.709,67.51
37,56,Clemson Univ,4.753,4.733,DNA,DNA,4.733,66.18
38,127,Univ of Virginia,5.472,5.442,5.562,4.748,4.748,65.42
39,141,Univ of Kentucky,4.861,4.763,4.879,4.849,4.763,64.61
40,53,Michigan State University,5.254,4.903,4.764,DNA,4.764,64.55
41,111,Oakland University,4.772,4.824,6.374,5.756,4.772,64.11
42,96,Univ of British Columbia - Okanagan,5.354,4.775,6.254,6.078,4.775,63.98
43,55,Univ of North Carolina - Charlotte,6.066,5.135,4.864,4.784,4.784,63.52
44,27,California State Univ - Fullerton,4.801,DNA,DNA,DNA,4.801,62.61
45,14,California Polytechnic State Univ-SLO,4.814,5.258,4.964,4.92,4.814,61.95
46,20,Clarkson University,4.831,4.924,DNA,DNA,4.831,61.09
47,57,Univ of Pittsburgh - Pittsburgh,4.903,4.841,DNA,DNA,4.841,60.55
48,142,Duke Univ,4.952,4.842,5.418,5.051,4.842,60.51
49,92,Univ of Ottawa,4.962,4.865,5.48,4.999,4.865,59.32
50,119,Univ of New Hampshire,4.88,4.897,DNA,DNA,4.88,58.61
51,43,Univ of Calgary,4.88,4.999,5.375,6.004,4.88,58.59
52,58,Drexel Univ,5.112,5.094,5.044,4.883,4.883,58.43
53,162,CEFET-MG,5.894,4.909,DNA,DNA,4.909,57.12
54,102,Univ of North Texas,4.917,5.297,5.23,5.042,4.917,56.75
55,103,Univ of Calif - Berkeley,12.845,4.929,5.127,5.017,4.929,56.14
56,22,South Dakota School of Mines & Tech,5.345,4.941,5.128,5.133,4.941,55.54
57,106,Old Dominion Univ,5.424,4.976,5.26,5.223,4.976,53.84
58,18,Univ of Missouri,4.98,5.083,5.948,6.139,4.98,53.64
59,101,Arizona State Univ - Tempe,6.533,5.035,5.732,DNA,5.035,51.02
60,91,Tennessee Tech Univ,5.045,DNA,DNA,DNA,5.045,50.57
61,37,Michigan Tech Univ,5.085,DNA,DNA,DNA,5.085,48.7
62,107,Florida Atlantic Univ,5.09,DNA,DNA,DNA,5.09,48.49
63,99,Univ of Akron,5.524,5.316,5.219,5.128,5.128,46.74
64,31,York College of Pennsylvania,5.799,5.597,5.332,5.162,5.162,45.18
65,89,Mississippi State Univ,5.407,5.164,DNA,DNA,5.164,45.09
66,44,Univ of Waterloo,5.57,5.328,6.042,5.72,5.328,37.97
67,73,Carleton Univ,5.6,5.395,10.545,6.216,5.395,35.2
68,63,Universidad Metropolitana,6.049,5.91,6.003,5.411,5.411,34.52
69,78,Univ of Texas - Dallas,5.429,5.962,5.456,5.919,5.429,33.8
70,60,Univ of Hartford,5.581,5.452,9.61,5.524,5.452,32.87
71,74,Univ of Southern California,5.906,5.955,5.523,11.067,5.523,30.04
72,122,Univ of Texas - Austin,5.627,5.55,67.158,41.545,5.55,28.99
73,48,Colorado Mesa University,5.556,DNA,DNA,DNA,5.556,28.79
74,30,Missouri State University,5.683,5.601,DNA,DNA,5.601,27.04
75,42,Univ of Maryland - College Park,5.687,6.054,DNA,DNA,5.687,23.82
76  T,49,Univ of North Florida,DNF,6.456,DNA,DNA,6.456,4.5
76  T,26,California State Univ - Los Angeles,7.475,DNA,DNA,DNA,7.475,4.5
76  T,76,Oregon Inst of Tech,11.397,7.971,8.126,8.259,7.971,4.5
76  T,108,Brown Univ,9.78,9.023,DNA,DNA,9.023,4.5
76  T,15,Lehigh Univ,DNF,9.436,DNA,DNA,9.436,4.5
76  T,136,Texas Tech Univ,38.668,12.932,DNA,DNA,12.932,4.5
