CarNum,Team,Engine Cylinders,Engine Displacement (cc),Weight(kg),Weight(lbs)
12,Purdue Univ - Northwest,4,600,203.2,448
13,Univ of Kansas - Lawrence,4,600,202.3,446
14,California Polytechnic State Univ-SLO,1,450,171.5,378
15,Lehigh Univ,1,450,166.5,367
16,Grand Valley State Univ,4,600,256.7,566
17,Univ of Victoria,4,600,210.5,464
18,Univ of Missouri,4,600,223.2,492
19,Univ of Illinois - Urbana Champaign,4,600,195.5,431
20,Clarkson University,4,600,225.4,497
21,Univ of Colorado - Boulder,2,689,199.1,439
22,South Dakota School of Mines & Tech,4,600,232.7,513
23,Embry-Riddle Aero Univ - Daytona Beach,4,600,213.2,470
24,Colorado State University,4,600,249,549
25,Kettering Univ,1,450,174.6,385
26,California State Univ - Los Angeles,1,690,213.2,470
27,California State Univ - Fullerton,2,690,206.8,456
29,California State Univ - Chico,1,450,178.7,394
30,Missouri State University,1,450,192.8,425
31,York College of Pennsylvania,4,600,254.9,562
32,Univ of Calif - Los Angeles,1,450,176.4,389
33,Purdue Univ - W Lafayette,4,600,210,463
34,California State Univ - Northridge,4,600,223.2,492
35,California Baptist University,1,690,201.4,444
36,North Carolina State Univ - Raleigh,4,636,210.9,465
37,Michigan Tech Univ,2,500,252.2,556
38,Univ of Michigan - Dearborn,1,450,190.1,419
39,Univ of Central Florida,4,636,207.7,458
40,Univ of Calif - Irvine,4,600,241.8,533
41,Univ of British Columbia,4,600,208.2,459
42,Univ of Maryland - College Park,4,600,222.3,490
43,Univ of Calgary,4,600,197.3,435
44,Univ of Waterloo,1,450,174.6,385
45,Lawrence Technological Univ,4,600,231.8,511
46,Washington Univ - St Louis,4,600,205,452
47,Liberty Univ,4,600,240.4,530
48,Colorado Mesa University,2,650,206.4,455
49,Univ of North Florida,4,600,223.2,492
51,Minnesota State University - Mankato,4,600,209.1,461
52,Univ of Manitoba,1,450,194.6,429
53,Michigan State University,4,600,236.8,522
55,Univ of North Carolina - Charlotte,1,450,197.8,436
56,Clemson Univ,4,636,205.9,454
57,Univ of Pittsburgh - Pittsburgh,4,600,225,496
58,Drexel Univ,1,478,173.3,382
59,Bradley Univ,4,600,262.6,579
60,Univ of Hartford,1,450,209.1,461
61,Kennesaw State University,4,600,198.2,437
62,Saint Louis University,4,600,,
63,Universidad Metropolitana,4,636,277.6,612
64,Univ of Saskatchewan,4,600,235.9,520
65,Lakehead Univ,4,600,304.4,671
66,South Dakota State Univ,2,670,213.6,471
67,UP Aguascalientes,4,600,284.4,627
68,Univ of Alberta,1,690,207.7,458
69,Universite de Sherbrooke,2,500,192.3,424
70,Queen's Univ,1,450,,
71,Oklahoma State Univ,4,636,238.1,525
72,Univ of Cincinnati,2,690,207.3,457
73,Carleton Univ,1,450,170.6,376
74,Univ of Southern California,4,600,216.4,477
75,Florida International Univ,2,650,,
76,Oregon Inst of Tech,4,600,226.3,499
78,Univ of Texas - Dallas,4,600,225,496
79,Universidad Panamericana Sede Guadalajar,4,600,277.1,611
80,Univ of Calif - San Diego,4,700,218.6,482
81,California State Poly Univ - Pomona,4,600,229.1,505
82,Georgia Institute of Technology,4,600,210.9,465
83,Western Michigan Univ,4,600,210.9,465
84,Univ of Arizona,4,600,,
86,Villanova Univ,4,600,217.3,479
88,The Ohio State University,4,600,207.3,457
89,Mississippi State Univ,1,450,198.7,438
90,Sacramento State Univ,4,636,221.8,489
91,Tennessee Tech Univ,2,627,186.4,411
92,Univ of Ottawa,4,600,209.1,461
93,Wichita State Univ,4,600,226.3,499
94,Temple Univ,4,600,202.3,446
96,Univ of British Columbia - Okanagan,4,600,245.4,541
97,Univ of South Florida,4,600,224.1,494
98,Univ of Nebraska - Lincoln,4,675,222.3,490
99,Univ of Akron,1,450,178.7,394
100,Alabama A & M Univ,4,600,291.2,642
101,Arizona State Univ - Tempe,2,250,254.5,561
102,Univ of North Texas,3,675,213.6,471
103,Univ of Calif - Berkeley,1,450,171.5,378
104,Polytechnic Univ of Puerto Rico,2,300,245.4,541
105,Rose Hulman Inst of Tech,1,478,160.6,354
106,Old Dominion Univ,4,600,216.8,478
107,Florida Atlantic Univ,4,600,215.5,475
108,Brown Univ,4,600,208.7,460
109,Univ of Minnesota - Duluth,1,625,248.1,547
110,Univ of Illinois - Chicago,4,600,222.3,490
111,Oakland University,4,600,226.3,499
113,Univ of Oklahoma,4,636,231.3,510
114,Saginaw Valley State Univ,4,600,205.5,453
115,Univ of Texas - Arlington,2,320,187.3,413
116,Washington State Univ,4,650,262.2,578
117,Missouri University of Science and Tech,4,636,216.4,477
118,Univ of Georgia,4,600,237.7,524
119,Univ of New Hampshire,1,450,206.8,456
120,Univ of Toledo,2,470,212.3,468
121,Univ of Wisconsin - Madison,2,690,240.9,531
122,Univ of Texas - Austin,4,600,225,496
123,West Virginia Univ,1,450,,
124,Univ of Connecticut,4,600,218.6,482
126,Univ of Puerto Rico-Mayaquez,4,600,208.2,459
127,Univ of Virginia,4,600,234.1,516
128,Universidad Autonoma Estado Mexico,4,600,244.9,540
129,Instituto Tecnologico de Chihuahua,4,600,,
131,Wroclaw University of Technology,4,600,203.2,448
132,Univ of Massachusetts - Lowell,4,600,230,507
134,Univ of Minnesota - Twin Cities,4,600,210.9,465
136,Texas Tech Univ,1,450,181.4,400
137,Iowa State Univ,4,600,223.2,492
140,Texas A&M Univ - College Station,1,500,169.6,374
141,Univ of Kentucky,4,600,228.2,503
142,Duke Univ,2,690,211.8,467
144,Kansas State Univ,3,675,214.1,472
147,Univ of Alabama - Tuscaloosa,4,600,,
151,Syracuse Univ,4,600,,
162,CEFET-MG,4,600,,
